addr,n,hold_med,train_pnl,hold_pnl,sharpe,t_stat,top_coin
0x711d0883044c616763e61082b932e270d268e560,1234,613.3217916666667,12358.26425746,10400.06091948,7.778023655718934,4.583978674948935,UNI
0x1003d8c532e5178673668e5f3aa48dc399ee940c,671,404.95553333333334,17115.060067,1337.594216,7.6898940815297445,3.1528024363847944,SOL
0x4ba1d152409f43ad92ba358886fe94bae4f5f656,1076,2712.37625,14896.882563,3583.6424190000002,7.6736157620628695,4.023404203003044,ETH
0x2e8d3856e5a4627e22d2cdaf6c8085ede9037241,682,1470.4872,7416.3843474,3757.94840884,7.602339038312157,7.105754928529388,xyz:GOLD
0x949b82dfc04558bc4d3ca033a1b194915a3a3bee,857,2764.1361833333335,13647.90695585,31257.18021467,7.591820531729895,5.8606210780652805,xyz:SKHX
0xdd59e8447b243696561f01f841d26a19b224aede,814,19.68355,17415.416226,2356.003138,7.561715913798417,1.7578539544412521,BTC
0xa04cc046c32dc706c65324ae6352d3d78e0c2013,1739,567.68175,4115.39009,51451.152002,7.513874942498113,7.006367195635004,HYPE
0xc4dad120712a92117cc65d46514be8b49ed846a1,3019,127.69676666666666,12400.235451,18564.56637704,7.4706551797861565,5.18808774343307,xyz:BRENTOIL
0x7c7b412019186684b51bdd98d4cbc33ccf1eee7d,6083,100.56900833333333,16823.28246304,21174.31039359,7.465546437263028,4.538047184645413,HYPE
0x5461e3a694004602961722522e70f62beb05ae65,4000,518.3537583333333,30770.53052637,1401.6607963200001,7.409337200881648,0.396965137777872,HYPE
0x612ca98c658c7a2de1f239a1d2a9e18c356e724a,19315,50.57539166666667,86352.450359,2469.2799539999996,7.363639318688323,0.5411474683861965,BTC
0xc0f06a313e20b7ad93a65dcdf0f208998d1a4596,3114,10.643358333333333,231689.004591,24685.78317662,7.314265030300731,3.5158412796708833,xyz:CBRS
0xf95c27a51f2e340d52e8a3c428cd6e290f51ca00,582,2862.2397166666665,4614.7981445,445.6860772,7.289347030433919,2.0329697990886486,@142
0x424d756e19469ddb13c753b280cc0e9d8c95420e,2549,152.11767500000002,4464.99746643,4351.67268188,7.217754926847564,7.111140952143927,HYPE
0x1188e4d6c751d79e27cbf38309803b998318a7e6,4973,188.34121666666667,54116.57076475,143563.73443629,7.110950901026203,6.000173033967333,HYPE
0xea1541b67de0364de56820085b7a3cc78952a7ef,667,1265.9085333333333,13624.07015982,14028.02208197,7.07064024680635,4.043088245050798,HYPE
0x1ea5e2527bdb39068c03cace032c953fd854addc,2976,202.419475,30535.21628,8005.032135,7.069270873132018,4.516219463141914,BTC
0xbbe9e1588a359337c3235de3b808da991cfc2efe,2539,1816.4250749999999,186093.56237177,82931.517417,7.062592921904185,3.8642661979143367,ZEC
0xe006b02ec9f5caa7c5cbcb3804e10bf4f45036c8,2303,33.677033333333334,4898.337858,253.56666554999998,6.888795261915101,0.9357774305548089,BTC
0x0b68ffcf5f719bf788439dd4595c3c3919f0bbfd,848,389.9909,33418.509214,6699.098333,6.78282635789822,2.5061726028474633,BTC
0xda830d2d83a57cea255bcfd0cf89c3e94abde0fd,1307,343.8277166666667,25116.78966,7441.227314260001,6.780325686536779,2.307403349023352,HYPE
0x9b3cafa1209ac61f02d7bc3b219697fb171c9c91,629,2310.4602333333332,21224.83753664,15849.7360995,6.738916471548202,4.076161410939908,@107
0xd79656d9e6ec643c6df635b21fe78ba7c02cbdc5,1127,961.47195,8812.47579484,3891.467746,6.715581727017495,4.00327050984481,TAO
0xdd5296899e9667839e4756ced0c6ea6ae21dcdec,894,228.9446,4035.589903,4869.544312,6.630260031636462,4.759597246595642,SOL
0xc0c212f6463c6cf9d1f3cc0fb75e940c34b96fa9,2264,288.87413333333336,42524.26016427,8259.79920492,6.615268899267067,4.767264264801537,TAO
0x1165647bdea6b9cb851f4ce99a2a0a66ea7d1356,1291,1171.1993833333333,1862.333333,328.156059,6.613972121515854,2.3186118261682345,ETH
0x081c9b59cf0cd905ba3d314196b4eb261f363adf,91,48.836325,360.95133764,1590.6136349600001,6.609838798033748,5.945328538696502,@107
0x29a83bcab75e9ab2c0af4fef8f8f5c570c40a066,8638,1174.534,36310.489236479996,1083.26367323,6.546150308228522,0.3276815096405827,HYPE
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,3482,572.8354833333333,16043.153038729999,7375.73093968,6.533147915265823,3.6316294021868423,AR
0x1289a97478366c592bcaa5eddcabb985cd76eb80,3690,40.75106666666667,13157.06481758,316.38222983,6.525942949826185,0.32662018229308054,HYPE
0xe73e031273aefa4529f9f4b46c111b7aaceba4d0,2221,975.3929166666667,28820.55767937,21416.63569984,6.522550165747987,3.680747591019228,HYPE
0xe61121dd5692c97f02504d2c01be88339a7a73c9,3595,853.1528666666667,6681.636659,9716.828895,6.406414316896882,6.677973947029832,BTC
0x981c9b73cc8e9817e4768c3a5beb5173991d4477,661,1510.350025,9326.536827,8878.954442,6.36942097907221,4.651685779604596,ETH
0x0c67ff84dddc2f62c9feac062ed8d11d1ca7298d,8762,75.49460833333333,25792.9366814,19169.80874688,6.35954577328978,4.987414892351227,BTC
0x0e9295ed032c59ff7ee2d575172c1f46932a5c90,735,5.976291666666667,2578.25024403,330.52427021,6.253263430917701,5.296430872220566,xyz:SP500
0x7b3f7b9696bd3d2b2c93416589495999c3b53dfd,384,1540.8981083333333,3982.90652339,633.10078303,6.24320287214734,2.0611451641844236,LIT
0x6f83ab8890ed38bf38a31010aa9a5e9ca743bfad,1176,1409.66925,52938.312326,9653.05548503,6.222403061115413,2.4543596260896674,ETH
0xe5e096ff9413971c6b2377e7811af53e82ca4d70,2000,63.3943,12420.92327564,1194.572238,6.195924073921116,3.100145548831854,HYPE
0x0c63fa8a570819c318065eebef9e07a80c534c39,4663,251.47975,14648.02966648,53129.776357,6.17811578019354,5.82504138883127,xyz:CL
0x0f7707db61e6add7c377757c0aa8068a58e389cc,2590,347.65521666666666,188004.516493,29513.06452,6.155305629500461,1.1927343000735815,ZEC
0xbaa91d6651782949d024d3783172fd5c094cd8b6,2000,484.64868333333334,53142.40691239,4533.352076,6.14437063307812,3.7898830112335236,BTC
